Job Title,Date of registration,Deadline,Job Category,Experience Required,Employment Type,Salary,SocialEnsurance,RetirementBenefit,Location,Working Hours,Working Type,Company Name,Job Description,ApplicationMethod,ApplicationType,document,Post
재가 요양보호사 모집,25/05/16 등록,채용시까지,재가 간병인,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","고용보험
산재보험",퇴직연금,"경기도 의왕시 호성로 48-7, . (오전동, 진달래아파트)","(근무시간) (오전) 11시 30분 ~ (오후) 12시 30분
주 소정근로시간
툴팁
: 1시간","주 1일 근무
(주 소정근로시간: 1시간)",예인재가장기요양센터,"* 4등급 할머니 목욕케어 ,11:30~12:30, 주1일근무(협의)
 - 목욕케어
 - 시급(기본시급10,030원 + 각수당포함) : 21,000원
 - 문의 031 8045 4198","방문,
기타 (센터장 010 6804 1994)",면접,"기타(요양보호사 자격증, 최근1년이내의 건강검진결과지)",
생산직 사원 모집,25/05/16 등록,채용시까지,금속기계부품 조립원,경력 (최소 1년 0 개월 이상) 필수,기간의 정함이 없는 근로계약,월급 210만원 ~ 230만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 부천시 원미구 조마루로385번길 122, 101호 삼보테크노타워 (춘의동, 삼보테크노타워)","(근무시간) (오전) 8시 30분 ~ (오후) 5시 30분
휴게시간( (오후) 12시30분~(오후) 01시30분)
주 소정근로시간
툴팁
: 40시간","주 5일 근무
(주 소정근로시간: 40시간)",(주) 올토크,"- 완제품 케이스 조립 및 검사
- 기계류 전자부품류 서브 어세이 조립 및 검사
- 전동드라이버 사용
- 자동차운전면허 1종보통 이상 소지자 우대","워크넷,
이메일 (개인회원 로그인 후 조회가능) 기본 이력서 이메일 보내기
고용24 입사지원","서류,면접","이력서,자기소개서",
아파트 내부 미화원 채용,25/05/16 등록,채용시까지,건물 청소원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 159만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 부천시 소사구 소사로126번길 18, 0 (소사본동, 양우아파트)","※ 상세 근무시간
평일 08;30-15;30
토 09;00-12;00
주 소정근로시간
툴팁
: 25시간","주 6일 근무
(주 소정근로시간: 25시간)",（주）비엠에스종합개발,아파트 내부 청소원,방문,"서류,면접",이력서,
[청덕동/4등급 여] 재가요양보호사 채용,25/05/16 등록,채용시까지,요양보호사,경력 (최소 0년 2 개월 이상) 우대,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 기흥구 구성3로 38, 509 (청덕동, 휴먼시아물푸레마을5단지아파트)","(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",나무재가복지센터,"- 청덕동 4등급 할머님 재가 대상자케어
- 일상생활지원서비스(말벗,  외출동행,정리정돈)
- 주5일 : 09:00~12:00(시간협의)
- 급여 : 시급10,030원+주휴수당+수당=12,900원
- 지원 (010-4708-2211)

※근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.","방문,
기타 (유선지원(010-4708-2211))",면접,"기타(건강검진결과, 자격증)",
일산동 재가요양보호사 구인,25/05/16 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약,"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 고양시 일산서구 탄중로 447, . (일산동, 쌍용아파트)",(근무시간) (오전) 9시 30분 ~ (오후) 12시 30분,주 5일 근무,연세재가복지센터,"[일산동] 재가요양보호사 모집

/정서지원,말벗,일상생활지원,거동가능
/4등급 여자어르신
/주5일 09:30~12:30
/시급: 10,030원(제수당포함 12,700원)
/담당자 통화후 면접진행

 ※ 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음","방문,
기타 (전화지원(010-3312-0067))","서류,면접",이력서,
상가미화원 모집,25/05/16 등록,채용시까지,건물 청소원,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 광명시 디지털로 25, 청덕빌딩 (철산동)","※ 상세 근무시간
평일 07:30~11:00 토요일 07:30~10:30(주 6일/일요일, 공휴일 휴무)
주 소정근로시간
툴팁
: 24시간","주 6일 근무
(주 소정근로시간: 24시간)",청덕실업(주),"- 철산동 청덕빌딩 미화
- 근무시간: 평일 07:30~11:00 토요일 07:30~10:30(주 6일/일요일, 공휴일 휴무)
- 급여: 월 1,100,000원",방문,면접,이력서,
재가 요양보호사 구인,"25/05/16 등록
25/05/30 마감",25/05/30 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 의왕시 백운중앙로 45, 203동 (학의동, 백운호수해링턴플레이스2단지)","(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",(주）어르신세상,"[4등급 할머님 케어]-가족과 거주
- 주5일(월~금)13:00~16:00
- 기저귀 케어, 운동 도움, 식사준비 청소 거의 없음, 어르신께만 집중
- 시급 10,030원+기타수당 포함 12,800원
- 원거리 교통비 5만원 지원","방문,
기타 (전화(담당자010-4246-3948))",면접,이력서,
평촌역인근 오피스텔 건물 관리원 채용,25/05/16 등록,채용시까지,"기타 건물 관리원(공원, 종교시설 등)",관계없음,기간의 정함이 있는 근로계약,월급 200만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 안양시 동안구 시민대로 277, 세방글로벌시티 오피스텔 (관양동)","※ 상세 근무시간
격일근무: 07:00~익일07:00(휴게시간:11:00~12:00, 14:00~15:00, 17:00~18:00, 22:00~06:00
※ 단, 휴게시간은 사정에 따라 조정될 수 있음
주 소정근로시간
툴팁
: 35시간","주 4일 근무
(주 소정근로시간: 35시간)",대경종합관리 주식회사,"- 오피스텔 건물 경비,순찰,재활용정리,건물주변 환경관리 등
- 경비신임교육이수증 무관하게 지원 가능
- 격일근무: 07:00~익일07:00(휴게시간:11:00~12:00, 14:00~15:00, 17:00~18:00, 22:00~06:00)
※ 단, 휴게시간은 사정에 따라 조정할 수 있음
- 월급여 200만원/연차수당, 설, 추석 떡값 지급
- 지원방법: 이력서 팩스(031-381-9893), 이메일(sebang1595@hanmail.net)",Not found,Not found,Not found,
빌라 격일제 시설관리주임 채용,25/05/16 등록,채용시까지,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),경력 (최소 0년 6 개월 이상) 우대,기간의 정함이 없는 근로계약,월급 260만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 기흥구 죽현로80번길 38, . (보정동, 죽전마을스타클래스3차)","※ 상세 근무시간
격일근무 06:30~익일06:30
(격일근무)
주 소정근로시간
툴팁
: 32시간","주 4일 근무
(주 소정근로시간: 32시간)",극동스타클래스 3차타운하우스,"- 36세대 타운하우스 공용부분 시설관리업무(단지 환경정화 등)
- 시설관련 자격증 무관하나 경력자 우대
- 격일근무 06:30~익일06:30
- 3개월 수습기간 있음
- 오래 근무하실 성실하신 분
- 구인정보 문의 031-6193-6533","팩스,
기타 (전화통화 후 팩스 접수)","서류,면접",이력서,
화주사 및 현장 담당자 정규직 채용,"25/05/16 등록
25/07/15 마감",25/07/15 마감,물류 사무원(물류 관리사),관계없음,기간의 정함이 없는 근로계약,"연봉 3,500만원 ~ 5,000만원","국민연금
고용보험
산재보험
건강보험",퇴직연금,경기도 이천시 대월면 대월로932번길 94,"(근무시간) (오후) 8시 00분 ~ (오전) 5시 00분
주 소정근로시간
툴팁
: 40시간","주 6일 근무
(주 소정근로시간: 40시간)",(주)유진로지스틱스,"1. 로젠택배 차량관리(야간) 
2. 협력사 관리
3. 고객사 운영이슈 대응",이메일(개인회원 로그인 후 조회가능) 기본 이력서 이메일 보내기,"서류,면접","이력서,자기소개서",
[화성 팔탄면]이노블록 미화원 모집,25/05/16 등록,채용시까지,환경 미화원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 130만원 ~ 130만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 화성시 팔탄면 석포로74번길 10-46, (주)이노블록","(근무시간) (오전) 6시 00분 ~ (오전) 11시 00분
휴게시간( (오전) 10시00분~(오전) 10시30분)
주 소정근로시간
툴팁
: 23시간","주 5일 근무
(주 소정근로시간: 23시간)",(주)백산휴레텍,"* 이노블록 미화원 모집

 * 급여: 1,303,950원
 * 근무시간 06:00~11:00, (휴게시간:10:00~10:30)
 * 차량 보유자 (차량유지비 지원)","팩스,
이메일 (개인회원 로그인 후 조회가능),
기타 (전화 문의 후 지원 010-8822-8660) 기본 이력서 이메일 보내기","서류,면접",이력서,
[용인 기흥구 중동] 동백라폴리움 1단지 관리원 모집,25/05/16 등록,채용시까지,건물 관리원,경력 (최소 1년 0 개월 이상) 우대,기간의 정함이 있는 근로계약,월급 237만원 ~ 237만원,"고용보험
산재보험
건강보험",퇴직연금,"경기도 용인시 기흥구 동백1로 42, 동백라폴리움 1단지 (중동)","※ 상세 근무시간
격일제 : 07:00~익일 07:00

휴게시간 : 12시간(주간 6시간, 야간 6시간)
1조 2교대 (격일근무)
주 소정근로시간
툴팁
: 46시간","주 4일 근무
(주 소정근로시간: 46시간)",(주)삼오관리,"용인시 기흥구 중동 동백라폴리움 1단지 관리원(경비, 시설관리) 모집

-모집인원 : 1명

- 근무내용 : 경비, 시설관리 등

- 근무시간 : 격일제(07:00~익일 07:00)
                  * 휴게시간 12시간(주간 6시간, 야간 6시간)

- 급 여 : 2,372,711원

- 우대사항 : 인근거주자, 복지카드 소지자(별도 수당 지급), 경력자 등",Not found,Not found,Not found,
[미사강변 16단지] 4등급 할머니 재가요양보호사 모집,25/05/15 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 하남시 미사강변북로 130 (망월동, 미사강변 트래지안)","(근무시간) (오전) 10시 00분 ~ (오후) 1시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",더케어방문요양센터,"[미사강변 16단지] 4등급 할머니 케어
- 가사일,청소,병원동행(휠체어:장애인콜택시 이용),일상생활도움
- 근무시간 : 주5일 / 10:00~13:00
- 시급 : 10,030원+그외 수당=12,700원 
* 전화문의 후 지원바랍니다(010-6722-5078)","방문,
기타 (전화문의 후 방문(010-6722-5078))",면접,기타(요양보호사자격증),
[독거]2등급 할머님 재가요양보호사 구인,25/05/15 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 수원시 장안구 장안로53번길 36-9, . (영화동)","※ 상세 근무시간
주 5일(월~금), 14:00~18:00
주 소정근로시간
툴팁
: 20시간","주 5일 근무
(주 소정근로시간: 20시간)",스마일시니어푸른재가방문요양센터,"▣ 2등급 할머님 재가요양보호사 구인 
▣ 어르신 상태: 보행 및 활동시 부축 혹은 도움 필요-치매 초기 혹은 의심증상 보임.
▣ 필요서비스: 부축, 청소, 요리, 기저기케어
▣ 독거이시며, 반찬만들기 식사챙겨들이기/ 중증수당 지급
▣ 근무시간 : 주 5일(월~금), 14:00~18:00
▣ 시급 10,030 + 주휴수당 + 연차수당 + 기타수당 = 총 12,700원 


*자세한 사항은 문의주세요~

** 실제 서비스 제공 기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자 마다 
 주 소정 근로 시간이나 임금, 근무(예정) 지 등에 차이가 있을 수 있음",기타(유선전화),면접,기타(요양보호사 1급 자격증),
[파주읍] 4등급 할머니 요양보양보호사 구인,25/05/15 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 파주시 파주읍 통일로1250번길 15, *","(근무시간) (정오) 12시 00분 ~ (오후) 3시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",다솜플러스재가복지센터,"[파주읍] 4등급  할머니 요양보양보호사 구인

- 일상생활지원, 가사도움, 정서지원
- 주5일/ 12:00~15:00
- 10,030+주휴수당=12,700원
- 주유비별도지급(30,000원)
- 문의  010-8812-4614","방문,
기타 (전화)",면접,기타(요양보호사 자격증),
[법곳동] 주2일 4등급 할머니재가요양보호사 채용,25/05/15 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"경기도 고양시 일산서구 곳산길 16-3, . (법곳동)","(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 6시간","주 5일 근무
(주 소정근로시간: 6시간)",돌보인방문요양센터파주점,"[법곳동]  4등급 할머니 재가요양업무
/식사도움, 주변청결, 말벗 등 
/주2일(추가심사 후 주5일로 변동 가능함) 13시~16시(시간조정가능) 
/시급: 10,030원(기본시급+연차수당, 주휴수당 등 제수당 포함 12,700원 지급)
/채용담당자 통화후 면접진행 
*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을수 있음.",방문,"면접,
기타 (전화상담후 면접)","기타(요양보호사 자격증 사본, 건강검진결과표 )",
[성복동/1등급 /할머님] 요양보호사 채용,25/05/15 등록,채용시까지,요양보호사,신입,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 수지구 성복1로 157, 111 (성복동, 버들치마을경남아너스빌1차)","근무시간 협의가능
※ 상세 근무시간
주1회 휴무 09:00~13:00
주 소정근로시간
툴팁
: 24시간","주 6일 근무
(주 소정근로시간: 24시간)",(A+)단비재가간호요양센터,"- 성복동 1등급 할머님 재가대상자케어(와상)
- 간병일상생활지원(콧줄, 기저귀케어)
- 주6일 : 09:00~13:00(주1회 휴무 /근무시간 꼭 확인)
- 급여 : 시급10,030+주휴수당+수당 포함=12,700원+중증수당
- 지원문의 010-9476-2912(031-265-2912)

 ※근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.","방문,워크넷,
기타 (유선지원(010-9476-2912))
고용24 입사지원","면접,
기타 (채용확정시 추가서류제출)","기타(자격증, 기타)",
방문목욕 요양보호사 채용,25/05/15 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 19,000원 이상","고용보험
산재보험",해당없음,"경기도 의정부시 시민로 333, ** (신곡동, 성원아파트)","근무시간 협의가능
(근무시간) (오후) 1시 30분 ~ (오후) 2시 30분
주 소정근로시간
툴팁
: 1시간","주 1일 근무
(주 소정근로시간: 1시간)",두드림방문요양센터,"- 1등급 여자어르신 방문목욕, 2인1조 진행
- 주1회, 매주 금요일 (협의가능) /13:30~14:30
- 시급: 19,000원 (수당포함)

- 연락처: 센타장님 031-825-7007 연락후 면접진행하시기 바랍니다.","방문,
기타 (연락후 방문)","서류,면접",이력서,
다산동 재가요양보호사 구인,25/05/15 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 남양주시 다산중앙로82번길 87-17, .. (다산동, 다산 센트럴파크)","(근무시간) (오전) 8시 00분 ~ (오전) 11시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",기쁨노인복지센터,"*5등급 할머니케어
-치매교육이수자
-독거, 가사지원, 식사도움, 병원동행, 산책, 말벗,
-오전8~11시/주5일
-시급 13200원(기타수당 포함)
-7월부터 근무",기타(전화상담후 방문 010-2652-8990),"서류,면접",이력서,
[성복동/3등급 /할머님] 요양보호사 채용,25/05/15 등록,채용시까지,요양보호사,신입,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 수지구 성복1로 13, 107 (성복동, 성복역 롯데캐슬 파크나인)","근무시간 협의가능
(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",(A+)단비재가간호요양센터,"- 성복동 3등급 할머님 재가대상자케어
- 간병일상생활지원서비스(말벗, 일상생활지원)
- 주5일 : 09:00~12:00(시간협의)
- 급여 : 시급10,030+주휴수당+수당 포함=12,700원
- 지원문의 010-9476-2912(031-265-2912)

 ※근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.","방문,워크넷,
기타 (유선지원(010-9476-2912))
고용24 입사지원","면접,
기타 (채용확정시 추가서류제출)","기타(자격증, 기타)",
[용인 보정동/1등급 /할아버지] 요양보호사 채용,25/05/15 등록,채용시까지,요양보호사,신입,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"경기도 용인시 기흥구 보정로 87, 206 (보정동, 죽현마을 아이파크)","근무시간 협의가능
※ 상세 근무시간
(주1회 휴무) 09:00~13:00
주 소정근로시간
툴팁
: 24시간","주 6일 근무
(주 소정근로시간: 24시간)",(A+)단비재가간호요양센터,"- 용인 보정동 1등급 할아버지 재가대상자케어
- 간병일상생활지원서비스(셕션,피팅, 일상생활지원)
- 주6일 : 09:00~13:00(주1일 휴무)
- 급여 : 시급10,030+주휴수당+수당 포함=12,700원+중증수당
- 지원문의 010-9476-2912(031-265-2912)

 ※근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.","방문,워크넷,
기타 (유선지원(010-9476-2912))
고용24 입사지원","면접,
기타 (채용확정시 추가서류제출)","기타(자격증, 기타)",
