Id,Title,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,SocialEnsurance,RetirementBenefit,Address,Category,WorkingHours,WorkingType,CompanyName,JobDescription,ApplicationMethod,ApplicationType,Document,Detail,Post
12,(등촌2동)재가요양보호사 모집,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 강서구 등촌로39가길 19 19, 등촌2동 성호타운빌내 실로암안과병원에서 5분거리 (등촌동)",강서구,"※ 상세 근무시간
주5일(월~금)
12시~15시 또는 11시~14시
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",연세노인복지센타,"강서구 등촌2동  성호타운빌내 (9호선 등촌역 7번출구에서 도보 10분)

- 요양보호대상자: 4등급 할머님 80  대   중반 /독거/거동가능
- 직무내용: 일상생활지원, 신체활동지원 .가사 및 청소 식사도움
- 장기요양급여 적용 근로시간 : 12시~15시 또는 11시~14시(주5일) 
- 급여:  시급10,030원(주휴수당,연차수당,기타수당 포함시 12,700원)","방문,팩스,
기타 (전화 010-6431-9942)","서류,면접","이력서,기타 (건강검진표.요양보호사 자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAH002505280002&rtnTarget=list7,
13,[응암동] 힐스테이트 백련산4차아파트 내부 미화원 모집,"25/05/28 등록
25/06/11 마감",25/06/11 마감,건물 청소원,관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 150만원 ~ 150만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 은평구 백련산로 37, . (응암동, 힐스테이트백련산4차)",은평구,"※ 상세 근무시간
- 주 5일 
- 평일 09:00~15:45 (휴게시간 12:00~13:00), 토요일 휴무
주 소정근로시간
툴팁
: 28시간","주 5일 근무
(주 소정근로시간: 28시간)",(유) 원광,"○ 주 5일근무 - 평일 09:00~15:45 (휴게시간 12:00~13:00) 토요일 휴무
                  
○ 급여 - 월 1,504,500월

○ 지원: 반장님 010-2599-0962",방문,면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKN002505280007&rtnTarget=list9,
14,[행당동/2등급/할머니/13~18시 주5일]재가 요양보호사 모집,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 성동구 마조로7길 12, .. (행당동)",성동구,"(근무시간) (오후) 1시 00분 ~ (오후) 6시 00분
주 소정근로시간
툴팁
: 24시간","주 5일 근무
(주 소정근로시간: 24시간)",하늘빛재가방문요양,"2등급 할머니 오후케어

-근무시간 월, 화, 금 14:00~18:00(4시간)/수, 목 13:00~19:00(6시간) 주5일
-시급 10,030원(주휴수당, 연차수당등 포함하면 13,000원)","방문,팩스",면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAQ002505280001&rtnTarget=list1,
15,상도동 재가요양보호사 구인,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 동작구 상도로38길 100, 상세 주소 미기재 (상도동, 효파크빌)",동작구,"근무시간 협의가능
(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분
주 소정근로시간
툴팁
: 18시간","주 6일 근무
(주 소정근로시간: 18시간)",섬김재가복지센터,"-상도역 도보5분 거리  거주
-3등급할머니//거동가능//일상생활돌봄
-주6일 13:00-16:00
-문의 010-4968-3532",방문,면접,"이력서,기타 (전화 후 방문)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKE002505280002&rtnTarget=list4,
16,[동작구] 이수푸르지오더프레티움 경비원 모집/격일,25/05/28 등록,채용시까지,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",관계없음,기간의 정함이 없는 근로계약,월급 285만원 ~ 285만원,"국민연금
고용보험
산재보험
건강보험",퇴직연금,"서울특별시 동작구 동작대로39길 39 (사당동, 이수푸르지오 더 프레티움)",동작구,"※ 상세 근무시간
07:00~익일07:00 (휴게 주간3시간, 야간4시간)
주 소정근로시간
툴팁
: 40시간","주 3일 근무
(주 소정근로시간: 40시간)",（주）홈스웰,"[동작구] 이수푸르지오더프레티움 경비
* 일반적인 경비 업무                         
* 07:00~익일07:00 (휴게 주간3시간, 야간4시간)                     
* 월급 2,854,280원",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAM002505280001&rtnTarget=list5,
17,[신대방동] 재가요양보호사모집,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 동작구 여의대방로 22, 신대방동 (신대방동, 우성아파트)",동작구,"(근무시간) (오후) 2시 30분 ~ (오후) 5시 30분
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",영등포구노인복지센터,"신대방동, 한림대 강남 성심병원 인근, 우성아파트

- 대상자: 4등급 할아버지/ 9 0 대 초반 인지양호, 거동가능/ 부부거주
- 직무내용: 청소, 신체활동지원, 가사활동지원, 산책 등
- 근로시간: 14시30분~17시30분/주5일
- 급여:  시급 10,030원(기타수당포함 12,700원)","방문,
기타 (전화  010-8013-8105)","서류,면접,
기타 (전화 010-8013-8105)","이력서,기타 (요양보호사 자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAH002505280001&rtnTarget=list6,
18,요양보호사 구인,"25/05/28 등록
25/07/27 마감",25/07/27 마감,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 강남구 선릉로69길 20, .. (역삼동, 역삼 e-편한세상)",강남구,"※ 상세 근무시간
09:00~12:00
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",정성재가복지센터,"3등급 할머니 케어
청소, 간식과 식사준비, 반찬만들기, 말벗, 산책동행

근무시간 09:00~12:00  주5일 주 15시간 근무

시급 12,700원 (주,연차 수당 포함)
따님 같이 거주하지만 어머님 케어만 전담(거동 가능)

전화지원 010-7155-2570","방문,
기타 (전화 통화 후 방문)",면접,기타(건강검진(1년 이내)),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAB002505280001&rtnTarget=list7,
19,길음동 재가요양보호사 모집,25/05/28 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약,"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 성북구 길음로 33, . (길음동, 길음뉴타운)",성북구,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주 5일 근무,행복드림재가노인복지센터,"[길음동 재가요양보호사 구인]
* 대 상 자: 4등급 여자어르신 
* 근무시간: 09:00~12:00(주5일 3시간)
* 근무지 :  서울 성북구 길음로 33
* 급여: 시급10,030+주휴수당 및 기타수당 포함 13000원

* 실제 서비스 제공 기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정 근로시간 이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.",기타(전화 후 방문),"면접,
기타 (전화 후 방문)","이력서,기타 (요양보호사 자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJKI002505280002&rtnTarget=list9,
20,행당대림 아파트 내부 청소반장 구인,25/05/27 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약(시간(선택)제),월급 173만원 이상,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 성동구 행당로 79, .. (행당동, 행당동 대림아파트)",성동구,"※ 상세 근무시간
 평일 09:00~16:00 (휴게시간 1시간) / 토요일 09:00~11:00 
주 소정근로시간
툴팁
: 32시간","주 6일 근무
(주 소정근로시간: 32시간)",주식회사태강티엠에스,"행당대림 아파트 청소반장님 업무
- 아파트 내부 미화 업무
- 평일 09:00~16:00 (휴게시간 1시간)
- 토요일 09:00~11:00 
- 급여 : 월 1,736.960원
- 문의 : 010-6324-2393 (전화 문의 후 방문시 이력서 지참)","방문,
기타 (전화)","서류,면접",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAQ002505270010&rtnTarget=list1,
21,[관악구] 요양보호사 모집/4등급 할아버지 / 11~14시,25/05/27 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 관악구 보라매로3길 31, . (봉천동, 보라매 롯데캐슬)",관악구,"※ 상세 근무시간
11:00~14:00
주 소정근로시간
툴팁
: 15시간","주 5일 근무
(주 소정근로시간: 15시간)",잠원재가노인복지센터,"[관악구] 4등급 할아버지 / 11~14시
* 직무내용 : 일상가사지원, 신체활동지원
* 주5일 11~14시     
* 시급: 10,030원(주휴수당, 연차수당 포함 12,800원)
* 근무지: 관악구 보라매로 3길 31  롯데캐슬아파트",방문,면접,기타(요양보호사자격증),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAM002505270008&rtnTarget=list6,
22,[쌍문역/5등급/할머니/주6일]재가 요양보호사 모집,25/05/27 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약,"시급 13,000원 ~ 13,000원","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 도봉구 도봉로110길 5, 창동 (창동)",도봉구,"근무시간 협의가능
(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분",주 5일 근무,케어닥방문요양센터송파점,"-요양보호대상자: 쌍문역/5등급/할머니
-어르신댁 입주하여 신체활동 지원, 가사활동 지원 등 장기요양급여 제공
-장기요양급여 09:00~12:00(3시간)시급 13,000원 /이용자의 상황에 따라 근로시간 외 추가시간 있을수 있음",방문,면접,"이력서,기타 (요양보호사 자격증)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0822505270001&rtnTarget=list9,
23,[개봉3동] 재가요양보호사 모집,25/05/27 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 이상","국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 구로구 개봉로1길 46 (개봉동, 태경하이빌)",구로구,"(근무시간) (오전) 9시 30분 ~ (오후) 12시 30분
주 소정근로시간
툴팁
: 18시간","주 5일 근무
(주 소정근로시간: 18시간)",실버노인복지센터,"개봉3동, 태경하이빌

- 대상자: 3등급 할머니, 누워 계심. 기저귀착용, 가족과 거주(낮엔 배우자와 있음)
- 근로시간 : 09:30~12:30/주6일
- 급여:  시급 10,030원[기타 수당 포함 12,700원]","방문,
기타 (전화 010-3043-9257)","서류,면접","기타(자격증, 건강검진표)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAH002505270011&rtnTarget=list3,
24,대조동 순복음교회 내부 미화원 모집,25/05/27 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 없는 근로계약,월급 210만원 ~ 210만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 은평구 역말로8길 25, 순복음교회 (대조동)",은평구,"(근무시간) (오전) 8시 00분 ~ (오후) 4시 30분
휴게시간( (오후) 12시00분~(오후) 01시00분)
주 소정근로시간
툴팁
: 37시간","주 6일 근무
(주 소정근로시간: 37시간)",(주)백산휴레텍,"◆ 시간
 - 주6일  화 ~금,일요일 08:00~16:30 (휴게 12:00~13:00) 토요일 8시~1시  매주 월요일 휴무, 중식제공(화 토 일)

◆ 장소
 - 역말로8길 25 대조동 순복음교회

◆ 급여
 - 월급 2,100,000원","팩스,
기타 (유선문의(010-8798-5644))",면접,이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAW002505270005&rtnTarget=list4,
25,[한남동] 상가 관리원 구인,"25/05/27 등록
25/06/04 마감",25/06/04 마감,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),관계없음,기간의 정함이 있는 근로계약,월급 300만원 ~ 300만원,"국민연금
고용보험
산재보험
건강보험",퇴직금,"서울특별시 용산구 독서당로 71, (상세주소 확인) (한남동)",용산구,"※ 상세 근무시간
(당일)08:00~(익일)08:00
주 소정근로시간
툴팁
: 40시간","주 4일 근무
(주 소정근로시간: 40시간)",(주)씨에치앤산업,"[한남동] 상가 시설 관리, 영선보조(보안+미화보조)

- (당일) 08:00-(익일)08:00 

- 월급 300만원

- 접수방법: 팩스02)795-7463 / 이메일 chn0017@naver.com / 전화문의 사절",Not found,Not found,Not found,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAV002505270010&rtnTarget=list7,
26,[미화원모집] 강동구 명일동 / 명일신동아아파트,25/05/27 등록,채용시까지,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",관계없음,기간의 정함이 있는 근로계약,"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",해당없음,"서울특별시 강동구 고덕로 240 (명일동, 신동아아파트)",강동구,"※ 상세 근무시간
08:30~15:00 (휴게1시간), 토 09:00~12:00 (격주근무) / 주6일제",주 6일 근무,(주)듀델코리아,"[아파트 미화원 모집]

직무: 아파트 청소 업무

근무시간: 08:30~15:00 (휴게1시간), 토 09:00~12:00 (격주근무) / 주6일제

근무지: 서울특별시 강동구 고덕로 240(명일동, 신동아아파트)

급여: 월1,513,700원

*복지카드 소지자 우대 / 장기근무자 우대 / 신주없음

* 전화지원 나성용담당자 010-9219-1720","방문,
기타 (* 전화지원 나성용담당자 010-9219-1720)","서류,면접,
기타 (* 전화지원 나성용담당자 010-9219-1720)",이력서,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAU002505270016&rtnTarget=list10,
27,"[서울대벤처타운역 인근] 4등급 여자어르신, 주 5일, 오후 3시간(14:00~17:00)",25/05/27 등록,채용시까지,재가 요양보호사,관계없음,기간의 정함이 없는 근로계약(시간(선택)제),"시급 10,030원 ~ 10,030원","국민연금
고용보험
산재보험
건강보험",퇴직연금,"서울특별시 관악구 신림로30길 17-9, B01호 (신림동)",관악구,"(근무시간) (오후) 2시 00분 ~ (오후) 5시 00분
주 소정근로시간
툴팁
: 15시간","주 6일 근무
(주 소정근로시간: 15시간)",해피데이노인요양복지센터,"[서울대벤처타운역 인근] 4등급 여자어르신(72), 독거, 거동가능
- 직무: 신체지원, 정서지원, 일상생활 및 가사지원
- 근무시간: 주 5일, 오후 3시간(14:00~17:00)  
- 시급: 12,700원(주휴수당, 연차수당 포함)",방문,"서류,면접","기타(요양보호사 자격증, 건강진단서)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJAF002505270009&rtnTarget=list1,
